qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2
24991,dictionary of american naval fighting ships,0.318,0,,,,,,
25122,birthplace of george washington,0.5468,0,,,,,,
20051,cuttle fish bone,0.0515,1,tagmee.topn3,0.1095,cuttle fish bone Cuttlefish,,,
20054,50plus,0.0552,0,,,,,,
20055,usairway,0,0,,,,,,
20056,sythe,0.0896,0,,,,,,
20058,livermore,0,0,,,,,,
20059,satue of liberty,0,0,,,,,,
20061,area codes,0.1383,0,,,,,,
20062,actinomyces bovis,0.3788,0,,,,,,
20065,rock and gem shows,0.3323,0,,,,,,
20066,record fish caught,0.1894,0,,,,,,
20067,programming a remote control,0.0341,0,,,,,,
20069,psuedopregnancy,1,0,,,,,,
20073,suzy leonard,0.1756,0,,,,,,
20076,collagen vascular disease,0.2995,0,,,,,,
20077,hansen quads,0.01,0,,,,,,
20081,video game artist,0.1198,1,tagmee.topn3,0.2004,video game artist Game artist,,,
20082,ct fire academy,0.0385,1,tagmee.topn3,0.0417,ct fire academy Fire,,,
20092,frank tejeda clinic,0.0033,0,,,,,,
20093,arizonalottery,0,0,,,,,,
20094,chevy colorado gas mileage,0,0,,,,,,
20096,white star auction,0.1957,0,,,,,,
20098,chase credit card,0.0297,0,,,,,,
20101,join job corps,0.0135,1,tagmee.topn3,0.0298,join job corps Job Corps,,,
20102,jimmy earl carter,0.3285,0,,,,,,
20103,ventral cavity,0.3218,0,,,,,,
20104,blount county sheriff department,0.3056,0,,,,,,
20107,athens post office,0,0,,,,,,
20108,eleanor sobel,0,0,,,,,,
20110,my own background check,0.0034,1,tagmee.topn3,0.0647,background check Background check,,,
20111,dodge caliber,0.1256,0,,,,,,
20112,assumption of mary,0.4241,0,,,,,,
20113,city of barstow,0.0141,0,,,,,,
20119,algerian airlines,0.1383,0,,,,,,
20121,suspicious numbers,0,0,,,,,,
20122,gardner community center,0.1433,0,,,,,,
20123,who was lincolns vice president,0.1935,0,,,,,,
20124,iowa girls high school basketball,0.0475,1,tagmee.topn3,0.0896,iowa girls high school basketball Iowa Randwick Girls  High School Secondary school Basketball Basketball,,,
20130,cayenne pepper plants,0.3904,0,,,,,,
20131,washington mutual bank home page,0.037,1,tagmee.topn3,0.125,washington mutual bank home page Washington Mutual Washington Mutual,,,
20135,montgomery county court,0.1789,0,,,,,,
20137,haulover beach fl,0.3407,1,tagmee.topn3,0.3589,haulover beach fl Haulover Park Florida,,,
20138,nacvso,0,0,,,,,,
20139,silicone roof coatings,0.4206,1,tagmee.topn3,0.4392,silicone roof coatings Silicone Coating,,,
20141,orlando weather 7 day forecast,0.0056,1,tagmee.topn3,0.0357,orlando weather   day forecast Orlando  Florida Weather forecasting Daytime Weather forecasting,,,
20145,raisin in the sun,0.1384,0,,,,,,
20146,carmen electra video,0.0677,1,tagmee.topn3,0.0853,carmen electra video Carmen Electra Music video,,,
20147,all bmw models,0.0198,0,,,,,,
20149,weddings,0.0077,0,,,,,,
20154,dream protein,0.7354,0,,,,,,
20162,msdha,0,0,,,,,,
20163,history crossword,0.0303,0,,,,,,
20164,baptist church interiors,0.0073,0,,,,,,
20168,spyware,0.0084,0,,,,,,
20170,laxative with stool softener,0.3386,0,,,,,,
20174,american social health association,0.1059,0,,,,,,
20176,cross stitch,0.0576,0,,,,,,
20179,mercier press,0,0,,,,,,
20180,stuffed bell peppers,0.0996,1,tagmee.topn3,0.11,stuffed bell peppers Stuffed peppers,,,
20181,mid america science museum,0.2186,0,,,,,,
20185,welch corgi,0.0086,0,,,,,,
20186,depression symtoms,0.0318,0,,,,,,
20188,what causes itchy feet,0.0938,0,,,,,,
20189,private process server,0.0074,0,,,,,,
20190,greg hewett,0.0283,0,,,,,,
20192,clox test,0.0193,0,,,,,,
20198,tyler texas weather,0.0763,1,tagmee.topn3,0.1186,tyler texas weather Tyler  Texas Meteorology,,,
20200,vanderbilt burn center,0.5691,0,,,,,,
20203,charles basil,0.0476,0,,,,,,
20206,cyberonics,0.1316,0,,,,,,
20207,michael olesker,0.1233,0,,,,,,
20208,coronation street update,0.0285,1,tagmee.topn3,0.03,coronation street update Coronation Street,,,
20209,arm wrestling,0.0968,0,,,,,,
20211,usa today,0.0202,0,,,,,,
20213,calverton national cemetary,0.1239,1,tagmee.topn3,0.1412,calverton national cemetary Calverton  New York Cemetary  band,,,
20215,report medicare fraud,0.1655,0,,,,,,
20216,glenns ferry,0.325,0,,,,,,
20219,hardees,0.1609,0,,,,,,
20221,premedication for dental procedures,0.125,2,glove.topn3.replace,0.25,premedication dentists dentistry required,tagmee.topn3,0.1667,premedication dental procedures Premedication Dentistry Surgery
20225,workforce of utah,0.0563,0,,,,,,
20227,tetanus shot,0.4798,0,,,,,,
20229,christmas stocking stuffers,0.038,0,,,,,,
20230,brooklyn va medical center,0.0909,0,,,,,,
20232,variocose veins,0.1432,0,,,,,,
20237,lomustine,0.5629,0,,,,,,
20239,nh wine,0.25,0,,,,,,
20244,colonel henry knox,0.2785,1,tagmee.topn3,0.3141,colonel henry knox Colonel  United States  Henry Knox,,,
20245,iud birth control,0.2591,0,,,,,,
20247,red in stool,0.0457,0,,,,,,
20249,sharpening twist drills,0.3399,1,tagmee.topn3,0.412,sharpening twist drills Sharpening Drill bit,,,
20250,benedryl for dog,0.2446,0,,,,,,
20251,swahili dishes,0.4132,0,,,,,,
20254,commonwealth state,0.225,0,,,,,,
20255,unearned income tax table,0.5571,1,tagmee.topn3,0.5587,unearned income tax table Unearned income Income tax in the United States,,,
20257,us posmaster,0,0,,,,,,
20260,ziune,0,0,,,,,,
20266,the food pyrimid,0.0056,1,glove.topn3.replace,0.0476,supplies pyrimid,,,
20271,tax questions,0.107,0,,,,,,
20272,buddishim,0,0,,,,,,
20273,bain de soleil,0.2894,0,,,,,,
20275,dune buggy insurance,0.012,0,,,,,,
20277,ribble cycles,0.0486,0,,,,,,
20278,aircanada,0.0625,0,,,,,,
20280,foursomes,,0,,,,,,
20283,flags,0.0223,0,,,,,,
20286,early pregnancy tests,0.0307,0,,,,,,
20288,3rd grade books,0.3904,0,,,,,,
20290,karger publishing,0.5604,0,,,,,,
20298,commercial liability insurance,0.0258,0,,,,,,
20300,gold eagle,0.051,0,,,,,,
20308,phd degrees in social work,0.0638,0,,,,,,
20310,virginia aquarium,0.1885,0,,,,,,
20312,wichita white pages,0.3333,0,,,,,,
20313,weather in nyc,0.0603,1,tagmee.topn3,0.1286,weather nyc New York City,,,
20319,west oaklane charter school,0,0,,,,,,
20323,what is a home equity line,0.0429,0,,,,,,
20327,pitahaya,0.3583,0,,,,,,
20328,flight simulators,0.0475,0,,,,,,
20330,irving berlin,0.1974,0,,,,,,
20332,gbi crime lab,0.484,0,,,,,,
20338,munster steel,0,0,,,,,,
20339,houston community college,0.6035,0,,,,,,
20340,world political map,0.3716,1,tagmee.topn3,0.4776,world political map World Map,,,
20343,windows media player 9,0.0844,1,tagmee.topn3,0.2339,windows media player   Windows Media Player Windows Media Player,,,
20344,football plays,0.0384,0,,,,,,
20347,stride rite,0.1919,0,,,,,,
20352,hopi food,0.3345,0,,,,,,
20353,weather seattle,0.007,0,,,,,,
20357,hobcaw barony,0.4287,0,,,,,,
20358,midlands bible college,0.2068,1,tagmee.topn3,0.3167,midlands bible college King s Evangelical Divinity School,,,
20359,05 mitsubishi eclipse,0.1847,0,,,,,,
20362,peacecorp,0,0,,,,,,
20363,ri vineyards,0.3088,0,,,,,,
20364,fiberglass cupola,0.8395,0,,,,,,
20365,canton ct,0.0013,0,,,,,,
20366,nye county school district,0.25,0,,,,,,
20368,aluminium extrusion,0.0165,0,,,,,,
20371,third quarter moon,0.4377,0,,,,,,
20375,state of mississippi,0,0,,,,,,
20378,honsodor hawaii,0,0,,,,,,
20379,kidney disease,0.1697,0,,,,,,
20380,eastlake community center,0,0,,,,,,
20384,dating violence,0.2535,0,,,,,,
20387,archaeology,0.0211,0,,,,,,
20388,3m,0.0142,0,,,,,,
20389,dictonaries,0.2075,0,,,,,,
20390,herald mail,0.0909,0,,,,,,
20392,relenza,0.7542,0,,,,,,
20393,blink reflex,0.3962,0,,,,,,
20395,amtrak emeryville,0.7034,0,,,,,,
20396,acrobat reader 7,0,0,,,,,,
20398,variable number tandem repeat,0.5191,0,,,,,,
20399,how to get around surf control,0,0,,,,,,
20405,347 ford engines,0.1129,0,,,,,,
20409,newspapers,0.0085,0,,,,,,
20411,black hole pictures,0.1983,0,,,,,,
20412,hospital anxiety and depression scale,0.2733,0,,,,,,
20416,companies that hire secret shoppers,0.5429,0,,,,,,
20419,how to get a divorce,0.0219,0,,,,,,
20420,ibew,0.2189,0,,,,,,
20422,greek husbands,0.0714,0,,,,,,
20424,growing tomatoes,0.0526,0,,,,,,
20425,888 numbers,0.4196,0,,,,,,
20426,arthur vasquez,0.0256,0,,,,,,
20429,acutron,0.1288,0,,,,,,
20431,oaklandtribune,0.0139,0,,,,,,
20432,add,0,0,,,,,,
20434,dmv san francisco,0.0145,0,,,,,,
20435,burrito recipes,0.0691,0,,,,,,
20437,smug mug photography,0.2982,1,tagmee.topn3,0.3353,smug mug photography SmugMug,,,
20440,hotels near downtown houston,0.245,0,,,,,,
20445,circumferance,0.2515,0,,,,,,
20448,council bluffs,0.0521,0,,,,,,
20451,marilyn bohn,0.728,0,,,,,,
20455,fraxel laser,0.169,0,,,,,,
20457,modern maid wall oven,0,0,,,,,,
20459,washington post sudoku,0.168,0,,,,,,
20460,troy built dealers,0,0,,,,,,
20463,the weather,0,0,,,,,,
20464,crab dip appetizer,0.0174,0,,,,,,
20467,sanctuary lyrics,0.0918,0,,,,,,
20468,san diego parking,0.0012,0,,,,,,
20470,tetanus vaccine,0.2243,0,,,,,,
20472,ambra jones,0.0023,0,,,,,,
20480,randy miller,0.0685,0,,,,,,
20481,calvert cliffs maryland,0.0997,0,,,,,,
20482,girls getting it on,0,0,,,,,,
20484,lake maps,0.0102,0,,,,,,
20485,german pens,0.5155,0,,,,,,
20486,frying pan tower,0.8349,0,,,,,,
20488,american express travel,0.1832,0,,,,,,
20490,prc,0,0,,,,,,
20493,how to gain weight,0.0158,0,,,,,,
20496,goodyear fuel max tires,0,0,,,,,,
20500,bank holding companies,0.152,0,,,,,,
20503,zylotol,0.1667,0,,,,,,
20505,bravo network,0.6873,0,,,,,,
20507,wilson,0,0,,,,,,
20516,dreamweaver software,0,0,,,,,,
20517,wilsons disease,0.3823,0,,,,,,
20523,myron corporation,0,0,,,,,,
20526,air tran airlines,0.0036,1,tagmee.topn3,0.2758,air tran airlines AirTran Airways Airline,,,
20527,molly strong,0,0,,,,,,
20528,pinecrest tropical gardens,0.2041,2,stem.lovins,0.3756,pinecrest trop garden,tagmee.topn3,0.2673,pinecrest tropical gardens Pinecrest  Florida Tropical climate Garden
20530,menstrual cycle,0.2459,0,,,,,,
20533,foreclosures list,0.0086,0,,,,,,
20535,nbc richard engel,0.2467,0,,,,,,
20536,external radiation therapy,0.4217,1,tagmee.topn3,0.4406,external radiation therapy Radiation therapy,,,
20537,golden gate bridge,0.3656,0,,,,,,
20538,carl epstein,0.0152,0,,,,,,
20539,model trains,0.1591,0,,,,,,
20542,how does the fly pentop computer work,0.4288,2,glove.topn3.replace,0.5219,fly pentop software work,tagmee.topn3,0.5008,fly pentop computer work Fly  pentop computer
20544,history of saint barthelemy,0.3498,0,,,,,,
20545,pita recipe,0.204,0,,,,,,
20546,rio grande,0.0989,0,,,,,,
20548,ankle implants,0.4893,0,,,,,,
20551,squash cassarole recipes,0,0,,,,,,
20555,glenohumeral subluxation,0.6951,0,,,,,,
20556,menorraghia,0.8056,0,,,,,,
20557,how to buy tax liens,0.0325,1,tagmee.topn3,0.1075,buy tax liens Trade Tax lien,,,
20559,cellular phone directory,0.1054,0,,,,,,
20560,sports kits,0.0179,0,,,,,,
20567,kathy ireland,0.0266,0,,,,,,
20569,clarksville tn rental property,0.1272,0,,,,,,
20570,lg lhd45el,0.8529,0,,,,,,
20573,greece,0.0062,0,,,,,,
20574,acidophilus,0.3497,0,,,,,,
20578,houses for sale by auction,0.02,0,,,,,,
20579,garfield county school district colorado,0,0,,,,,,
20581,piggly wiggly store ads,0.0494,1,glove.topn3.replace,0.1018,wiggly   aou   piggly oly      box shop advertisements advertisement,,,
20583,saugerties central school district,0.0095,0,,,,,,
20584,home remedies for canker sores,0.5031,0,,,,,,
20586,weston,0.0185,0,,,,,,
20589,nikki swanson,0,0,,,,,,
20590,window well,,0,,,,,,
20591,microsoft home,0,0,,,,,,
20592,itching inside chest,,0,,,,,,
20595,texas auction academy,0.7143,1,tagmee.topn3,0.7667,texas auction academy Texas,,,
20596,gsa catalog,0,0,,,,,,
20597,dumpster rental,0.1116,0,,,,,,
20598,route 666,0.459,0,,,,,,
20601,garlic cholesterol,0.3981,0,,,,,,
20603,klinger gaskets,0.3996,0,,,,,,
20604,honda insight,0.1996,0,,,,,,
20605,causes of the cold war,0.1048,0,,,,,,
20607,hawaii real estate,0.0239,1,glove.topn3.replace,0.0333,honolulu oahu indeed actually property,,,
20608,cia hyde park,0.4348,0,,,,,,
20614,danny elfman,0.0378,0,,,,,,
20617,cowboy crafts,0.2006,0,,,,,,
20618,hematology reports,0.0105,0,,,,,,
20620,weather in eastern carribbean,0.1758,1,tagmee.topn3,0.1806,weather eastern carribbean Weather Eastern United States Caribbean,,,
20622,pielet brothers,0.1155,0,,,,,,
20624,george sanders,0.1834,0,,,,,,
20625,wounded warrior act,0.0192,0,,,,,,
20628,krypton diagram,0.0156,0,,,,,,
20629,magnetic fields,0.0875,0,,,,,,
20630,tonga,0.4273,0,,,,,,
20631,hague convention,0.2155,0,,,,,,
20641,new bedford rmv,0.3821,0,,,,,,
20642,ph levels,0.1021,0,,,,,,
20643,architects in new jersey,0.7679,0,,,,,,
20644,vice president richard nixon,0.1199,1,tagmee.topn3,0.1317,vice president richard nixon Richard Nixon,,,
20649,wentzville school district,0,0,,,,,,
20650,nicknames,0.1192,0,,,,,,
20652,best free people finder,0,0,,,,,,
20655,foodnetwork,0.0039,0,,,,,,
20656,1940 census,0.5323,0,,,,,,
20657,background disclosure forms,0.2325,0,,,,,,
20658,east orange va,0,0,,,,,,
20660,berkley insurance,0.4089,0,,,,,,
20661,technology in the medical field,0.0015,0,,,,,,
20662,abbeyville sc,0,0,,,,,,
20663,antique stoneware crock,0.4601,0,,,,,,
20668,more cowbell script,0.1712,1,tagmee.topn3,0.239,cowbell script More cowbell,,,
20669,eriogonum jamesii,0.7,0,,,,,,
20682,sterling planet,0.8529,0,,,,,,
20686,jobs in washington,0.342,0,,,,,,
20688,skagit valley herald,0.0453,0,,,,,,
20691,airport parking,0,0,,,,,,
20697,dooney bourke look alike,0.3099,0,,,,,,
20699,pain relief,0.0885,0,,,,,,
20704,detroit riot,0.4329,0,,,,,,
20705,choreathetosis,,0,,,,,,
20708,photograph to digital converter,0,0,,,,,,
20710,atlantis games,0,0,,,,,,
20713,knotts berry farm,0.1927,1,tagmee.topn3,0.2359,knotts berry farm Knott s Berry Farm,,,
20718,sno bikes,0.4792,0,,,,,,
20719,barack obama senator for illinois,0.0295,1,tagmee.topn3,0.0719,barack obama senator illinois Barack Obama United States Senate Illinois,,,
20721,constitution of italy,0.2474,0,,,,,,
20722,pokemon episode guide,0.1331,0,,,,,,
20725,dooney burke outlet store,0.3053,1,tagmee.topn3,0.3566,dooney burke outlet store Dooney  amp  Bourke Outlet store,,,
20726,vista add printer,0.0128,0,,,,,,
20727,ovulation calendar,0.2561,0,,,,,,
20729,lonely indian housewives,,0,,,,,,
20732,saint maarten weather,0.5317,0,,,,,,
20733,navy swords,0.4291,0,,,,,,
20736,oakwood friends school,0.6299,0,,,,,,
20738,locks of love,0.0603,0,,,,,,
20740,pelican harbor marina,0.1554,1,tagmee.topn3,0.1625,pelican harbor marina Pelican Harbor Marina,,,
20741,polk county texas,0,0,,,,,,
20744,craig olejnik,1,0,,,,,,
20746,borg warner,0,0,,,,,,
20747,very short dress,0,0,,,,,,
20748,carolina speedway,0,0,,,,,,
20749,hospital acquired pneumonia,0.2428,1,tagmee.topn3,0.2431,hospital acquired pneumonia Hospital acquired pneumonia,,,
20752,brian nord,0.3788,0,,,,,,
20754,eagle airport colorado,0.5598,0,,,,,,
20756,make a bird bath,0.432,0,,,,,,
20757,obesity hypoventilation syndrome,0.5337,0,,,,,,
20762,hrsa nursing scholarship,0.119,0,,,,,,
20764,green darner dragonfly,0.2352,0,,,,,,
20766,prescription diet pills,0.0078,1,tagmee.topn3,0.0094,prescription diet pills Medical prescription Anti obesity medication,,,
20768,mileage tax credit,0.2299,0,,,,,,
20771,newport university california,0.25,0,,,,,,
20772,bree olson,,0,,,,,,
20773,football,0.011,0,,,,,,
20774,extreme dating,0.0139,0,,,,,,
20776,nissan pickup gas mileage,0,0,,,,,,
20777,spain weather conditions,0.0034,0,,,,,,
20781,exercises to lose weight,,0,,,,,,
20783,tewksbury mass,0.0359,0,,,,,,
20785,warrant officer,0.1998,0,,,,,,
20786,bbq rubs,0.0791,0,,,,,,
20795,all earthquake list,0.2426,0,,,,,,
20796,poseidon industries,0,0,,,,,,
20797,firefly bus,0.2328,0,,,,,,
20799,riverbend park,0.2601,0,,,,,,
20803,kentucky lemon law,0.3764,0,,,,,,
20805,simmons and rockwell,0,0,,,,,,
20806,solar roof vent,0.049,0,,,,,,
20808,healthy recipes,0.0315,0,,,,,,
20809,quality of life measures,0.5076,0,,,,,,
20810,the tides at charleston on staten island,0,0,,,,,,
20812,free email directory,0.2843,0,,,,,,
20815,dreamland inc,0.0019,0,,,,,,
20816,credit card debt consolidation loan,0,0,,,,,,
20817,alternative medicine,0.0124,0,,,,,,
20819,work from home data entry jobs,0,0,,,,,,
20822,keflex for animals,0,0,,,,,,
20824,stevens jonson syndrome,0.051,0,,,,,,
20830,toyota corolla,0.0066,0,,,,,,
20831,health recipes,0,0,,,,,,
20832,orlando sentinel,0.2516,0,,,,,,
20834,4th amendment,0.0458,0,,,,,,
20837,huntsville alabama,0.089,0,,,,,,
20839,nj dmv,0,0,,,,,,
20845,bryman school phoenix,0.0286,0,,,,,,
20849,enrique iglesias songs,0.2488,0,,,,,,
20851,skirvin hotel oklahoma,0.5545,1,stem.lovins,0.5876,skirvin hotel oklahom,,,
20852,when is take your child to work day,0.0417,1,tagmee.topn3,0.3411,take child work day Take Our Daughters and Sons to Work Day,,,
20854,hidden cove golf course,0.0081,0,,,,,,
20855,rotor disease,0.2745,0,,,,,,
20859,blackrock depths,0.4158,0,,,,,,
20860,wktv,0.1,0,,,,,,
20863,free translation,0.0079,0,,,,,,
20864,annual vehicle inspection report,,0,,,,,,
20866,palmer community center,0,0,,,,,,
20870,free cell phones,0.0154,0,,,,,,
20872,tru chocolate,0.5751,0,,,,,,
20873,hillside strangler,0.4571,0,,,,,,
20874,seattle city council,0.0561,0,,,,,,
20875,virginia department of education,0.0637,0,,,,,,
20879,taylor manor hospital,0.0545,1,tagmee.topn3,0.0589,taylor manor hospital Manor Hospital,,,
20882,weight management,0.1618,0,,,,,,
20883,west coast fossil park,0.3163,0,,,,,,
20886,indocrin,0.5,0,,,,,,
20889,moakley building,0.3698,0,,,,,,
20890,trust funds,0.3434,0,,,,,,
20891,5 food groups,0.0027,2,tagmee.topn3,0.1867,  food groups,stem.lovins,0.1867,food group
20895,center solar system,0.1146,0,,,,,,
20897,bbc science news,0.0169,0,,,,,,
20898,weather tampa bay,0.1814,0,,,,,,
20899,jack nicholson movies,0.3027,0,,,,,,
20906,tea,,0,,,,,,
20910,yersinia,0.4257,0,,,,,,
20912,burger king,0.0185,0,,,,,,
20914,buckeye police department,0.5,0,,,,,,
20915,cash gifting programs,0.0977,0,,,,,,
20916,doughton park,0.4542,0,,,,,,
20921,campaign contribution limits,0.1872,0,,,,,,
20923,elevated right hemidiaphragm,0,0,,,,,,
20925,western quilt patterns,0.1935,0,,,,,,
20927,humana health care,0.0609,1,tagmee.topn3,0.0873,humana health care Humana Health care in the United States,,,
20930,britney spears tattoo,0.5443,0,,,,,,
20932,translate german to english,0.2411,0,,,,,,
20935,heskin hall,0.1108,0,,,,,,
20936,stuff magazine online,0,0,,,,,,
20937,oil gas scams,0.1895,0,,,,,,
20938,chemistry set,0.3812,0,,,,,,
20944,craigslist nh,0.0463,0,,,,,,
20945,belle isle detroit,0.5796,0,,,,,,
20950,berkshire hathaway,0.0675,0,,,,,,
20955,matt ferber,0.0029,0,,,,,,
20956,dental hygiene schools,0.296,0,,,,,,
20960,pest control education,0.1619,1,tagmee.topn3,0.1709,pest control education Pest  organism  Pest control,,,
20962,diy+audio,0.365,0,,,,,,
20964,treatment for renal cell cancer,0.4229,0,,,,,,
20965,ritz camera,0.4154,0,,,,,,
20967,seal team 6,0.5788,0,,,,,,
20969,oregon employment,0.5391,0,,,,,,
20972,vice president residence,0.3459,0,,,,,,
20973,oh dmv,0,0,,,,,,
20975,michaels craft store,0.0207,0,,,,,,
20976,sudoku,0.1395,0,,,,,,
20977,fc kerbeck,0,0,,,,,,
20978,william clark,0.2398,0,,,,,,
20985,official dart board measurements,0.5083,0,,,,,,
20988,get directions,,0,,,,,,
20991,hostage rescue team,0.3395,1,tagmee.topn3,0.3396,hostage rescue team Hostage Rescue Team,,,
20994,the oregonian newspaper,0.5598,1,tagmee.topn3,0.5689,oregonian newspaper The Oregonian Newspaper,,,
20996,guillermo venegas lloveras,0.7903,0,,,,,,
20998,tamaxifen,,0,,,,,,
20999,detroit things to do,0.0006,0,,,,,,
21000,madd michigan victim impact panel,0,0,,,,,,
21532,bridges in michigan,0.3146,0,,,,,,
21593,rutledge georgia,0,0,,,,,,
21745,almeria,,0,,,,,,
22952,rosary hill ny,0,0,,,,,,
23912,collegeville pennsylvania,0.4778,0,,,,,,
24991,dictionary of american naval fighting ships,0.318,0,,,,,,
25122,birthplace of george washington,0.5468,0,,,,,,
